true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
0/1,at some time ( prop_1 ) or whenever ( prop_2 ),F ( prop_1 | F prop_2 ),F(prop_1) | G(prop_2),False
1/2,"In case that ( prop_3 ) , and ( prop_1 ) then the following condition is true : at the same moment ( prop_2 ) .",G ( ( prop_3 & prop_1 ) -> prop_2 ),G((prop_3 & prop_1) -> prop_2),True
1/3,"For each time instant in the next 273 to 307 time units ( prop_1 ) and ( prop_2 ) should be detected , or else ( prop_3 ) .","( G [273,307] ( prop_1 & prop_2 ) | prop_3 )","G[273,307]((prop_1 & prop_2) | prop_3)",True
2/4,"While ( prop_3 ) , or ( prop_1 ) , then the following condition is true : at the same moment the scenario that ( prop_2 ) ought to be detected .",G ( ( prop_3 | prop_1 ) -> prop_2 ),G( (prop_3 | prop_1) -> prop_2 ),True
2/5,"Either (prop_1) and (prop_3) happen at the same time, or else make sure (prop_2) happens at some point after the next 8909 time steps .","( ( prop_1 & prop_3 ) | F [8909,infinite] prop_2 )","((prop_1 & prop_3) | F[8909,∞) prop_2)",True
2/6,"If ( prop_1 ) and ( prop_3 ) are both detected then this is equivalent to ( prop_2 ) , or else ( prop_4 ) .",( ( ( prop_1 & prop_3 ) <-> prop_2 ) | prop_4 ),((prop_1 & prop_3) -> (prop_2)) & (!(prop_1 & prop_3) -> (prop_4)),False
3/7,"if never ( prop_1 ) , at any time ( prop_2 )",( G ( ! prop_1 ) -> F prop_2 ),!F(prop_1) -> F(prop_2),True
3/8,"Either (prop_2) should happen and last until (prop_4) in 8439 to 10715 time units, or else (prop_1) should be equivalent to (prop_3) .","( ( prop_2 U [8439,10715] prop_4 ) | ( prop_1 <-> prop_3 ) )","((prop_2 U[8439,10715] prop_4) | (prop_1 <-> prop_3))",True
4/9,"It is always the case that while ( prop_2 ) , or ( prop_3 ) then all of the following conditions hold : starting without any delay ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> prop_1 ),G((prop_2 | prop_3) -> prop_1),True
5/10,when possible ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),F (prop_1 | prop_2),True
