true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
1/1,( prop_1 ) and when possible ( prop_2 ),( prop_1 & F prop_2 ),(prop_1 & F(prop_2)),True
2/2,"when ( prop_1 ) , ( prop_2 )",( prop_1 -> prop_2 ),(prop_1 -> prop_2),True
3/3,In the case ( prop_1 ) and ( prop_2 ) then the following condition holds : without any delay ( prop_3 ) .,G ( ( prop_1 & prop_2 ) -> prop_3 ),G((prop_1 & prop_2) -> prop_3),True
3/4,whenever ( prop_1 ) or whenever ( prop_2 ),F ( prop_1 | F prop_2 ),G(prop_1 | prop_2),False
3/5,"If (prop_1) implies (prop_3), then eventually (prop_2) will happen after 343 timesteps .","( ( prop_1 -> prop_3 ) -> F [343,infinite] prop_2 )","((prop_1 -> prop_3) -> F[343,343] prop_2)",False
4/6,"You do (prop_1) and it is equivalent to (prop_3), and you should not do (prop_2) .",( ( prop_1 <-> prop_3 ) & ! prop_2 ),(prop_1 <-> prop_3) & !prop_2,True
4/7,"In case that the transition action that ( prop_2 ) takes place then the following condition is true : starting without any delay ( prop_1 ) , or at the same time the transition action that ( prop_3 ) will never take place .",G ( prop_2 -> ( prop_1 | prop_3 ) ),G( prop_2 -> ( prop_1 & G(!prop_3) ) ),False
5/8,"As soon as the transition action that ( prop_2 ) is observed , then all of the following conditions hold : ( prop_3 ) and ( prop_1 ) .",G ( prop_2 -> ( prop_3 & prop_1 ) ),G ( prop_2 -> ( prop_3 & prop_1 ) ),True
5/9,It is always the case that in case that the scenario that ( prop_2 ) happens or the event that ( prop_3 ) happens then promptly ( prop_1 ) .,G ( ( prop_2 | prop_3 ) -> prop_1 ),"G((prop_2 | prop_3) -> F[0,1](prop_1))",False
5/10,"It is required that ( prop_3 ) and ( prop_2 ) must be detected at the same time in the future , which is equivalent to the scenario that ( prop_1 ) .",( F ( prop_3 & prop_2 ) <-> prop_1 ),F ( (prop_3 & prop_2) <-> prop_1 ),False
6/11,whenever ( prop_1 ) or at some time ( prop_2 ),F ( prop_1 | F prop_2 ),F (prop_1 | prop_2),True
6/12,at any time ( prop_1 ) can infer that whenever ( prop_2 ),( F prop_1 -> F prop_2 ),G ( prop_1 -> F prop_2 ),False
7/13,whenever ( prop_1 ) or at some time ( prop_2 ),F ( prop_1 | F prop_2 ),F (prop_1 | prop_2),True
7/14,"It is always the case that while ( prop_1 ) , and ( prop_3 ) then all of the following conditions hold : immediately the event that ( prop_2 ) ought n't to happen .",G ( ( prop_1 & prop_3 ) -> prop_2 ),G((prop_1 & prop_3) -> !X(prop_2)),False
7/15,whenever ( prop_1 ) and ( prop_2 ),F ( prop_1 & prop_2 ),G ( prop_1 & prop_2 ),False
8/16,It is always the case that when the transition action that ( prop_1 ) gets detected then all of the following conditions hold : ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
9/17,"Globally , if the event that ( prop_1 ) happens , then all of the following conditions hold : at the same time instant ( prop_3 ) , and ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G ( prop_1 -> ( prop_3 & prop_2 ) ),True
9/18,"As soon as ( prop_1 ) then the following condition is true : there will have to finally exist sometime in the future before the end of the execution , at which for every moment within the coming 13 to 74 time units ( prop_2 ) .",G ( prop_1 -> F ( G prop_2 ) ),"G( prop_1 -> F[0,∞]( G[13,74]( prop_2 ) ) )",False
10/19,"Either don't have (prop_3), or have both (prop_1) and (prop_2) .",( ! prop_3 | ( prop_1 & prop_2 ) ),!prop_3 | (prop_1 & prop_2),True
10/20,"In case ( prop_2 ) and ( prop_1 ), the following condition holds: for every time instant in the following 58 to 67 time units, ( prop_3 ).","G ( ( prop_2 & prop_1 ) -> G [58,67] prop_3 )","((prop_2 & prop_1) -> G[58,67](prop_3))",False
10/21,"If (prop_2), then (prop_4), and keep this until (prop_3) or (prop_1) happens at some point after 439 time units .","( ( prop_2 -> prop_4 ) U [439,infinite] ( prop_3 | prop_1 ) )","((prop_2 -> prop_4) U[0,439] !(prop_3 | prop_1)) & F[439,∞) (prop_3 | prop_1)",False
10/22,"If either (prop_3) or (prop_2) occurs, then (prop_1) should happen finally within 62 to 186 time units .","( ( prop_3 | prop_2 ) -> F [62,186] prop_1 )","G((prop_3 | prop_2) -> F[62,186](prop_1))",False
10/23,"Globally , during the interval that ( prop_2 ) , and the event that ( prop_4 ) does not take place , then in response simultaneously the transition action that ( prop_3 ) shall get detected or ( prop_1 ) .",G ( ( prop_2 & prop_4 ) -> ( prop_3 | prop_1 ) ),G( (prop_2 & !prop_4) -> (prop_3 | prop_1) ),False
11/24,"When the transition action that ( prop_1 ) occurs , and ( prop_2 ) , then the following condition holds : the event that ( prop_3 ) ought to be observed at the same time point .",G ( ( prop_1 & prop_2 ) -> prop_3 ),G((prop_1 & prop_2) -> prop_3),True
12/25,While ( prop_3 ) or ( prop_4 ) then in response instantly ( prop_1 ) or right away ( prop_2 ) .,G ( ( prop_3 | prop_4 ) -> ( prop_1 | prop_2 ) ),G( (prop_3 | prop_4) -> (prop_1 | prop_2) ),True
13/26,In the case the transition action that ( prop_3 ) is observed then ( prop_1 ) or ( prop_2 ) .,G ( prop_3 -> ( prop_1 | prop_2 ) ),G ( prop_3 -> ( prop_1 | prop_2 ) ),True
14/27,"In case that the scenario that ( prop_1 ) occurs , or ( prop_4 ) , then ( prop_2 ) , and ( prop_3 ) .",G ( ( prop_1 | prop_4 ) -> ( prop_2 & prop_3 ) ),G((prop_1 | prop_4) -> (prop_2 & prop_3)),True
15/28,"It is always the case that while ( prop_3 ) , or ( prop_1 ) , then all of the following conditions hold : instantly ( prop_2 ) .",G ( ( prop_3 | prop_1 ) -> prop_2 ),G((prop_3 | prop_1) -> prop_2),True
15/29,"Globally , whenever ( prop_2 ) or the scenario that ( prop_3 ) gets observed , then the following condition is true : there ought to be a certain time instant in the future before the end of the execution finally , after which for every time instant within the next 60 time units ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> F ( G prop_1 ) ),"G( (prop_2 | prop_3) -> F( (prop_1)[0,60] ) )",False
16/30,In the event that ( prop_3 ) then all of the following conditions hold : at once ( prop_1 ) or ( prop_2 ) .,G ( prop_3 -> ( prop_1 | prop_2 ) ),G( prop_3 -> ( prop_1 | prop_2 ) ),True
16/31,"If (prop_2) does not occur, then wait until (prop_3) or (prop_1) happens within 3687 to 10136 time units .","( ! prop_2 U [3687,10136] ( prop_3 | prop_1 ) )","!prop_2 -> F[3687,10136](prop_3 | prop_1)",False
16/32,At some point during the 100 to 186 time units it should be the case that if ( prop_1 ) or ( prop_2 ) then ( prop_3 ) .,"F [100,186] ( ( prop_1 | prop_2 ) -> prop_3 )","F[100,186]((prop_1 | prop_2) -> prop_3)",True
17/33,When the event that ( prop_1 ) happens then in response the transition action that ( prop_3 ) and ( prop_2 ) .,G ( prop_1 -> ( prop_3 & prop_2 ) ),G ( prop_1 -> ( prop_3 & prop_2 ) ),True
18/34,"Globally , if ( prop_2 ) , then the following condition holds : ( prop_3 ) , or at the same time point ( prop_1 ) .",G ( prop_2 -> ( prop_3 | prop_1 ) ),G ( prop_2 -> ( prop_3 | prop_1 ) ),True
19/35,"Globally , in case that ( prop_3 ) then all of the following conditions are true : starting without any delay ( prop_1 ) or at the same time instant ( prop_2 ) .",G ( prop_3 -> ( prop_1 | prop_2 ) ),G ( prop_3 -> ( prop_1 | prop_2 ) ),True
20/36,never ( prop_1 ) and when possible ( prop_2 ),G ( ! prop_1 & F prop_2 ),G( !prop_1 & F(prop_2) ),True
20/37,( prop_1 ) or when possible ( prop_2 ),( prop_1 | F prop_2 ),prop_1 | prop_2,False
20/38,"It is always the case that if the transition action that ( prop_1 ) takes place , then the scenario that ( prop_3 ) must happen promptly and ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),"G ( prop_1 -> ( F[0,1] prop_3 & prop_2 ) )",False
20/39,at some time ( prop_1 ) and when possible ( prop_2 ),F ( prop_1 & F prop_2 ),F(prop_1 & prop_2),False
21/40,"On condition that the transition action that ( prop_2 ) is observed , then all of the following conditions are true : ( prop_1 ) and at the same moment ( prop_3 ) .",G ( prop_2 -> ( prop_1 & prop_3 ) ),G ( prop_2 -> ( prop_1 & prop_3 ) ),True
22/41,Whenever ( prop_3 ) or ( prop_2 ) then ( prop_1 ) .,G ( ( prop_3 | prop_2 ) -> prop_1 ),G((prop_3 | prop_2) -> prop_1),True
22/42,"If ( prop_4 ) then ( prop_1 ) happens and also ( prop_2 ) , and ( prop_3 ) .",( ( ( prop_4 -> prop_1 ) & prop_2 ) & prop_3 ),(prop_4 -> (prop_1 & prop_2 & prop_3)),False
23/43,always ( prop_1 ) or ( prop_2 ),G ( prop_1 | prop_2 ),G(prop_1 | prop_2),True
23/44,"Globally , if the scenario that ( prop_2 ) does not get detected or ( prop_1 ) , then all of the following conditions are true : ( prop_3 ) .",G ( ( prop_2 | prop_1 ) -> prop_3 ),G((!prop_2 | prop_1) -> prop_3),False
24/45,"Globally , whenever ( prop_1 ) , or ( prop_2 ) then all of the following conditions are true : in the future until the end of the simulation , continuously ( prop_3 ) .",G ( ( prop_1 | prop_2 ) -> G prop_3 ),G((prop_1 | prop_2) -> G(prop_3)),True
25/46,"Whenever ( prop_3 ) , or the scenario that ( prop_1 ) takes place , then the following condition is true : ( prop_4 ) or ( prop_2 ) .",G ( ( prop_3 | prop_1 ) -> ( prop_4 | prop_2 ) ),G((prop_3 | prop_1) -> (prop_4 | prop_2)),True
25/47,"If (prop_1) is equivalent to (prop_2), then make sure (prop_3) from 307th time step and onward .","( ( prop_1 <-> prop_2 ) -> G [307,infinite] prop_3 )","(prop_1 <-> prop_2) -> F[307,∞] prop_3",False
25/48,( prop_1 ) until at some time ( prop_2 ),( prop_1 U F prop_2 ),(prop_1 U prop_2),False
26/49,"Globally , if the scenario that ( prop_3 ) is observed then all of the following conditions are true : at the same time ( prop_2 ) and ( prop_1 ) .",G ( prop_3 -> ( prop_2 & prop_1 ) ),G ( prop_3 -> ( prop_2 & prop_1 ) ),True
26/50,"Apart from you keep observing (prop_1), if (prop_2) occurs then you should do (prop_3) .",( G prop_1 & ( prop_2 -> prop_3 ) ),G ( prop_2 -> prop_3 ),False
26/51,"Whenever ( prop_1 ) , then all of the following conditions are true : promptly ( prop_2 ) .",G ( prop_1 -> prop_2 ),"G( prop_1 -> F[0,1] prop_2 )",False
26/52,"It is always the case that whenever ( prop_2 ) that ( prop_1 ) , then in response at a certain time instant in the future before the simulation ends , the scenario that ( prop_3 ) will finally not get detected .",G ( ( prop_2 | prop_1 ) -> F prop_3 ),G((prop_2 & prop_1) -> F(!prop_3)),False
27/53,"If it is not the case that at some future time ( prop_1 ) or ( prop_2 ) , then ( prop_3 ) is true , and vice versa .",( ! ( F ( prop_1 | prop_2 ) ) <-> prop_3 ),((!F(prop_1 | prop_2)) <-> prop_3),True
27/54,"Globally , everytime when the event that ( prop_2 ) is observed then in response there needs to exist a certain moment in the future before the simulation ends , at which ( prop_1 ) , until then without interruption ( prop_3 ) .",G ( prop_2 -> ( prop_1 U prop_3 ) ),G ( prop_2 -> ( prop_3 U prop_1 ) ),False
27/55,"During the interval that ( prop_3 ) , or ( prop_4 ) then all of the following conditions are true : starting without any delay the transition action that ( prop_1 ) will have to happen and ( prop_2 ) .",G ( ( prop_3 | prop_4 ) -> ( prop_1 & prop_2 ) ),((prop_3 | prop_4) -> (prop_1 & prop_2)),False
28/56,"It is always the case that in case that ( prop_1 ) and ( prop_3 ) , then the following condition is true : ( prop_2 ) , and ( prop_4 ) .",G ( ( prop_1 & prop_3 ) -> ( prop_2 & prop_4 ) ),G((prop_1 & prop_3) -> (prop_2 & prop_4)),True
28/57,at any time ( prop_1 ) and whenever ( prop_2 ),F ( prop_1 & F prop_2 ),G (prop_1 & prop_2),False
29/58,In the case ( prop_1 ) or ( prop_3 ) then in response ( prop_2 ) .,G ( ( prop_1 | prop_3 ) -> prop_2 ),G((prop_1 | prop_3) -> prop_2),True
30/59,"If (prop_2) then (prop_1), then (prop_4) should be equivalent to (prop_3) .",( ( prop_2 -> prop_1 ) -> ( prop_4 <-> prop_3 ) ),((prop_2 -> prop_1) -> (prop_4 <-> prop_3)),True
30/60,"It is always the case that while ( prop_3 ) and ( prop_1 ) then the following condition holds : for each moment in the coming 3927 to 8696 time units , there has to exist a certain moment after between 5200 to 8979 time units , at which ( prop_2 ) .","G ( ( prop_3 & prop_1 ) -> G [3927,8696] ( F [5200,8979] prop_2 ) )","G( (prop_3 & prop_1) -> G[3927,8696](F[5200,8979](prop_2)) )",True
31/61,"Globally , whenever the scenario that ( prop_1 ) is observed , then the following condition is true : ( prop_3 ) or promptly ( prop_2 ) .",G ( prop_1 -> ( prop_3 | prop_2 ) ),G ( prop_1 -> ( prop_3 | prop_2 ) ),True
32/62,As soon as the event that ( prop_3 ) gets observed then all of the following conditions are true : at the same time point ( prop_2 ) or ( prop_1 ) .,G ( prop_3 -> ( prop_2 | prop_1 ) ),G( prop_3 -> ( prop_2 | prop_1 ) ),True
33/63,"Whenever the transition action that ( prop_1 ) is observed then the following condition is true : ( prop_3 ) , and instantly ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G ( prop_1 -> ( prop_2 & prop_3 ) ),True
33/64,"If the case ( prop_2 ) is equivalent to the case ( prop_1 ) , then for each time instant from 448 to infinity, ( prop_3 ) should be true.","( ( prop_2 <-> prop_1 ) -> G [448,infinite] prop_3 )","(prop_2 <-> prop_1) -> G[448,∞] prop_3",True
34/65,"It is always the case that in case that the transition action that ( prop_1 ) occurs , then all of the following conditions are true : ( prop_3 ) and uninterruptedly this scenario shall last till ultimately there exists a time in the future before the simulation ends , at which the transition action that ( prop_2 ) .",G ( prop_1 -> ( prop_3 U prop_2 ) ),G ( prop_1 -> ( prop_3 U prop_2 ) ),True
35/66,"Globally , whenever ( prop_1 ) then in response ( prop_3 ) , and ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G ( prop_1 -> ( prop_3 & prop_2 ) ),True
36/67,( prop_1 ) or at some time ( prop_2 ),( prop_1 | F prop_2 ),prop_1 | F prop_2,True
36/68,"In case that ( prop_3 ) happens and continues until ( prop_4 ) or else ( prop_2 ) , and also ( prop_1 ) .",( ( ( prop_3 U prop_4 ) | prop_2 ) & prop_1 ),((prop_3 U (prop_4 | prop_2)) & prop_1),False
37/69,"It is always the case that when the transition action that ( prop_3 ) takes place , then all of the following conditions hold : at the same time ( prop_1 ) and at the same time the scenario that ( prop_2 ) needs to occur .",G ( prop_3 -> ( prop_1 & prop_2 ) ),G ( prop_3 -> ( prop_1 & prop_2 ) ),True
37/70,"Whenever the event ( prop_1 ) is detected, then ( prop_3 ) or immediately ( prop_2 ) should happen.",G ( prop_1 -> ( prop_3 | prop_2 ) ),G ( prop_1 -> ( prop_3 | X prop_2 ) ),False
38/71,"Globally , everytime when the event that ( prop_3 ) gets detected , then simultaneously the scenario that ( prop_2 ) will be observed or at the same time point ( prop_1 ) .",G ( prop_3 -> ( prop_2 | prop_1 ) ),G ( prop_3 -> ( prop_2 | prop_1 ) ),True
38/72,"It should be the case that when (prop_2) and (prop_1) are both true, then (prop_3) is also true and this should happen finally within 478 to 524 timesteps, and vice versa .","( ( prop_2 & prop_1 ) <-> F [478,524] prop_3 )","F[478,524](((prop_2 & prop_1) -> prop_3) & (prop_3 -> (prop_2 & prop_1)))",False
38/73,Anyone of (prop_2) and (prop_1) should happen and continue until at some point during the 22 to 107 time units ( prop_3 ) should not happen .,"( ( prop_2 & prop_1 ) U [22,107] ! prop_3 )","\[(prop_1 | prop_2) \; U_{[22,107]} \; !prop_3\]",False
39/74,"If the scenario that ( prop_3 ) is detected , then ( prop_2 ) , or without any delay ( prop_1 ) .",G ( prop_3 -> ( prop_2 | prop_1 ) ),G( prop_3 -> ( prop_2 | prop_1 ) ),True
40/75,As soon as the scenario that ( prop_1 ) occurs then the following condition holds : at the same time ( prop_2 ) and ( prop_3 ) .,G ( prop_1 -> ( prop_2 & prop_3 ) ),G ( prop_1 -> ( prop_2 & prop_3 ) ),True
41/76,It is always the case that when the event that ( prop_3 ) is detected then in response without any delay ( prop_2 ) and ( prop_1 ) .,G ( prop_3 -> ( prop_2 & prop_1 ) ),G ( prop_3 -> ( prop_2 & prop_1 ) ),True
41/77,"Globally , whenever the transition action that ( prop_3 ) is observed then the following condition holds : there has to be a time in the future before the execution ends eventually , at which the scenario that ( prop_2 ) shall get observed , before ( prop_1 ) .",G ( prop_3 -> ( prop_2 U prop_1 ) ),G ( prop_3 -> ( F ( prop_2 & !prop_1 ) ) ),False
41/78,As soon as the event that ( prop_1 ) gets detected then the following condition holds : ( prop_2 ) and promptly ( prop_3 ) .,G ( prop_1 -> ( prop_2 & prop_3 ) ),G( prop_1 -> ( prop_2 & X prop_3 ) ),False
41/79,whenever ( prop_1 ) and at some time ( prop_2 ),F ( prop_1 & F prop_2 ),G ( prop_1 -> F prop_2 ),False
42/80,"Either finally make (prop_1) happen , or else make sure that (prop_3) and (prop_2) happen at the same time .",( F prop_1 | ( prop_3 & prop_2 ) ),F(prop_1) | (prop_3 & prop_2),True
42/81,"For 478 to 598 timesteps (prop_2), then if (prop_3), then (prop_1) .","( G [478,598] prop_2 -> ( prop_3 -> prop_1 ) )","[(prop_2) [478,598]] -> (prop_3 -> prop_1)",False
43/82,It is always the case that while ( prop_1 ) then ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
44/83,( prop_1 ) or at any time ( prop_2 ),( prop_1 | F prop_2 ),prop_1 | F(prop_2),True
44/84,"For all time within 91 to 420 timesteps, make sure that (prop_2) is true, or else (prop_1) or (prop_3) .","( G [91,420] prop_2 | ( prop_1 | prop_3 ) )","G[91,420] (prop_2 | prop_1 | prop_3)",False
44/85,"It is always the case that when ( prop_4 ) and ( prop_3 ) , then simultaneously ( prop_1 ) or the transition action that ( prop_2 ) ought to be promptly observed .",G ( ( prop_4 & prop_3 ) -> ( prop_1 | prop_2 ) ),"G((prop_4 & prop_3) -> (prop_1 | F[0,1] prop_2))",False
45/86,Do not do (prop_2) until either (prop_1) or (prop_3) should occur .,( ! prop_2 U ( prop_1 | prop_3 ) ),!prop_2 U (prop_1 | prop_3),True
45/87,"There has to be a certain time instant during the subsequent 8871 to 14960 time units eventually, at which ( prop_2 ) happens, given that either ( prop_1 ) or the event ( prop_3 ) doesn't get observed.","G ( ( prop_2 | prop_1 ) -> F [8871,14960] prop_3 )","((!prop_3 | prop_1) -> F[8871,14960](prop_2))",False
46/88,"if ( prop_1 ) , at some time ( prop_2 )",( prop_1 -> F prop_2 ),(prop_1 -> F prop_2),True
46/89,"Globally , everytime when ( prop_2 ) , or ( prop_1 ) , then in response after a certain time instant in the following 1787 to 9522 time units for every time point during the next 4711 to 11542 time units , ( prop_3 ) .","G ( ( prop_2 | prop_1 ) -> F [1787,9522] ( G [4711,11542] prop_3 ) )","G( (prop_2 | prop_1) -> F[1787,9522] G[4711,11542](prop_3) )",True
46/90,"It is always the case that when consistently ( prop_3 ) , the transition action that ( prop_2 ) is detected ultimately then finally after a certain time point in the subsequent 3346 to 9726 time units , ( prop_1 ) then this condition ought to consecutively keep for each moment within 9181 to 9309 time units .","G ( ( prop_3 U prop_2 ) -> F [3346,9726] ( G [9181,9309] prop_1 ) )","G( (prop_3) -> F[3346,9726]( prop_2 -> G[9181,9309](prop_1) ) )",False
47/91,"If ( prop_4 ) would imply ( prop_3 ) then this would further imply ( prop_2 ) , then it would have to be the case that ( prop_1 ) .",( ( ( prop_4 -> prop_3 ) -> prop_2 ) -> prop_1 ),((prop_4 -> prop_3) -> prop_2) -> prop_1,True
47/92,"Globally , when ( prop_3 ) , and the transition action that ( prop_2 ) happens then ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G( (prop_3 & X(prop_2)) -> prop_1 ),False
48/93,It is always the case that if ( prop_2 ) then in response instantly ( prop_3 ) or ( prop_1 ) .,G ( prop_2 -> ( prop_3 | prop_1 ) ),G ( prop_2 -> ( prop_3 | prop_1 ) ),True
49/94,"Globally , in case that ( prop_1 ) or the scenario that ( prop_2 ) then in response uninterruptedly ( prop_3 ) .",G ( ( prop_1 | prop_2 ) -> prop_3 ),G((prop_1 | prop_2) -> prop_3),True
50/95,"Everytime when ( prop_1 ) then the following condition is true : at a time in the future before the execution ends , the transition action that ( prop_2 ) needs to occur eventually .",G ( prop_1 -> F prop_2 ),G ( prop_1 -> F prop_2 ),True
50/96,"When the scenario that ( prop_2 ) occurs , then all of the following conditions are true : ( prop_1 ) , and ( prop_3 ) .",G ( prop_2 -> ( prop_1 & prop_3 ) ),(prop_2 -> (prop_1 & prop_3)),False
50/97,"As soon as the transition action that ( prop_1 ) occurs then the following condition is true : consecutively the transition action that ( prop_2 ) will not get detected until there is a certain time instant during the first 2217 to 6181 time units , at which ( prop_3 ) .","G ( prop_1 -> ( prop_2 U [2217,6181] prop_3 ) )","G( prop_1 -> ( !prop_2 U[2217,6181] prop_3 ) )",False
