true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
1/1,( prop_1 ) or at some time ( prop_2 ),( prop_1 | F prop_2 ),prop_1 | F prop_2,True
2/2,"It is always the case that if ( prop_1 ) , then in response ( prop_3 ) , and ( prop_2 ) .",G ( prop_1 -> ( prop_3 & prop_2 ) ),G ( prop_1 -> ( prop_3 & prop_2 ) ),True
3/3,"Globally , in case that ( prop_3 ) then the following condition is true : ( prop_1 ) and then this scenario shall uninterruptedly continue till ( prop_2 ) .",G ( prop_3 -> ( prop_1 U prop_2 ) ),G ( prop_3 -> ( prop_1 U prop_2 ) ),True
4/4,"Globally , in case that ( prop_3 ) then all of the following conditions are true : starting without any delay ( prop_1 ) or at the same time instant ( prop_2 ) .",G ( prop_3 -> ( prop_1 | prop_2 ) ),G ( prop_3 -> ( prop_1 | prop_2 ) ),True
4/5,"( prop_2 ) happens and continues until at some point during the 7155 to 11176 time units ( prop_1 ) happens , is equivalent to the case that ( prop_4 ) and ( prop_3 ) happen at the same time .","( ( prop_2 U [7155,11176] prop_1 ) <-> ( prop_4 & prop_3 ) )","((prop_2 U[7155,11176] prop_1) <-> (prop_4 & prop_3))",True
5/6,"It is not the case that if ( prop_3 ) then imply ( prop_2 ) , which is equal to ( prop_1 ) .",( ! ( prop_3 -> prop_2 ) <-> prop_1 ),!((prop_3 -> prop_2) <-> prop_1),True
6/7,Whenever ( prop_2 ) and ( prop_3 ) then ( prop_1 ) .,G ( ( prop_2 & prop_3 ) -> prop_1 ),G((prop_2 & prop_3) -> prop_1),True
7/8,"In case that the event that ( prop_2 ) is observed then in response without any delay ( prop_3 ) , and right away ( prop_1 ) .",G ( prop_2 -> ( prop_3 & prop_1 ) ),G( prop_2 -> ( prop_3 & prop_1 ) ),True
8/9,When the event that ( prop_1 ) is detected then ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
8/10,"Globally , when ( prop_3 ) and ( prop_2 ) , then in response the scenario that ( prop_1 ) shall ultimately get detected at a certain time point during the following 4699 to 8752 time units .","G ( ( prop_3 & prop_2 ) -> F [4699,8752] prop_1 )","G( (prop_3 & prop_2) -> F[4699,8752](prop_1) )",True
8/11,"On condition that the event that ( prop_3 ) is observed or ( prop_2 ) , then the following condition ought not to be true : ( prop_1 ) .",G ( ( prop_3 | prop_2 ) -> ! ( F prop_1 ) ),G((prop_3 | prop_2) -> !prop_1),False
8/12,"In the case ( prop_1 ) or ( prop_2 ) then the following condition holds : for every moment in the next 25 to 46 time units , there will have to be a time in the first 32 to 34 time units , at which ( prop_3 ) .","G ( ( prop_1 | prop_2 ) -> G [25,46] ( F [32,34] prop_3 ) )","((prop_1 | prop_2) -> G[25,46](F[32,34](prop_3)))",False
9/13,Everytime when the transition action that ( prop_1 ) then all of the following conditions hold : ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
10/14,"Globally , if the event that ( prop_1 ) is detected , then all of the following conditions are true : ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
10/15,( prop_1 ) means that whenever ( prop_2 ),( prop_1 -> F prop_2 ),G ( prop_2 -> prop_1 ),False
10/16,"Either keep (prop_1) until (prop_4) in the next 224 to 435 time steps, or make sure that (prop_3) is equivalent to (prop_2) .","( ( prop_1 U [224,435] prop_4 ) | ( prop_3 <-> prop_2 ) )","((prop_1 U[224,435] prop_4) | (prop_3 <-> prop_2))",True
10/17,"It is required that at the end of the simulation either ( prop_3 ) or ( prop_2 ) should have happened , and also ( prop_1 ) .",( F ( prop_3 | prop_2 ) & prop_1 ),F ( (prop_3 | prop_2) & prop_1 ),False
10/18,"It is always the case that when ( prop_1 ) , and ( prop_2 ) , then all of the following conditions hold : the scenario that ( prop_3 ) shall be detected eventually at a certain moment in the following 15 to 40 time units .","G ( ( prop_1 & prop_2 ) -> F [15,40] prop_3 )","G((prop_1 & prop_2) -> F[15,40](prop_3))",True
11/19,"(prop_1) is not true, and keep (prop_3) until (prop_2) .",( ! prop_1 & ( prop_3 U prop_2 ) ),!prop_1 & (prop_3 U prop_2),True
11/20,"It is always the case that in case that ( prop_2 ) , and ( prop_1 ) , then all of the following conditions are true : at a certain time point within the following 41 to 58 time units eventually the scenario that ( prop_3 ) must occur .","G ( ( prop_2 & prop_1 ) -> F [41,58] prop_3 )","G((prop_2 & prop_1) -> F[41,58](prop_3))",True
11/21,at any time ( prop_1 ) and whenever ( prop_2 ),F ( prop_1 & F prop_2 ),G(prop_1 -> prop_2),False
12/22,"Globally , if ( prop_1 ) and ( prop_2 ) then all of the following conditions are true : ( prop_3 ) .",G ( ( prop_1 & prop_2 ) -> prop_3 ),G((prop_1 & prop_2) -> prop_3),True
12/23,at any time ( prop_1 ) or at any time ( prop_2 ),F ( prop_1 | F prop_2 ),G (prop_1 | prop_2),False
12/24,at some time ( prop_1 ) and when possible ( prop_2 ),F ( prop_1 & F prop_2 ),F(prop_1 & prop_2),False
13/25,at some time ( prop_1 ) or at some time ( prop_2 ),F ( prop_1 | F prop_2 ),(F prop_1) | (F prop_2),True
13/26,"When ( prop_1 ) , and ( prop_2 ) then the following condition holds : there shall be sometime in the first 6521 to 10651 time units finally , at which ( prop_3 ) .","G ( ( prop_1 & prop_2 ) -> F [6521,10651] prop_3 )","G((prop_1 & prop_2) -> F[6521,10651](prop_3))",True
13/27,( prop_1 ) and whenever ( prop_2 ),( prop_1 & F prop_2 ),G ( prop_2 -> prop_1 ),False
13/28,"Everytime when the event that ( prop_3 ) gets observed or ( prop_2 ) , then finally there will exist a certain time instant in the future before the execution ends , after which ( prop_1 ) and then this scenario ought to continue without interruption in the subsequent 50 to 54 time units .",G ( ( prop_3 | prop_2 ) -> F ( G prop_1 ) ),"G((prop_3 | prop_2) -> F((prop_1 & G[0,54] prop_1)))",False
13/29,"Whenever ( prop_2 ) , or the event that ( prop_3 ) gets observed then the following condition is true : there exists a certain moment within the next 3 to 15 time units , at which finally ( prop_1 ) .","G ( ( prop_2 | prop_3 ) -> F [3,15] prop_1 )","G( (prop_2 | prop_3) -> F[3,15](prop_1) )",True
13/30,It is always the case that while ( prop_2 ) then the following condition holds : ( prop_1 ) or right away ( prop_3 ) .,G ( prop_2 -> ( prop_1 | prop_3 ) ),G( prop_2 -> ( prop_1 | X(prop_3) ) ),False
13/31,"While ( prop_4 ) and ( prop_2 ) , then ( prop_3 ) , and immediately ( prop_1 ) .",G ( ( prop_4 & prop_2 ) -> ( prop_3 & prop_1 ) ),G((prop_4 & prop_2) -> (prop_3 & X prop_1)),False
14/32,( prop_1 ) or ( prop_2 ),( prop_1 | prop_2 ),prop_1 | prop_2,True
14/33,"Either (prop_3) and (prop_1) happen, or make (prop_2) happen at some point after 9502 time steps .","( ( prop_3 & prop_1 ) | F [9502,infinite] prop_2 )","((prop_3 & prop_1) | F[9502,∞] prop_2)",True
14/34,at some time ( prop_1 ) until ( prop_2 ),F ( prop_1 U prop_2 ),(prop_1 U prop_2),False
15/35,Do not do (prop_2) until the scenario in which (prop_1) is equivalent to the scenario in which (prop_3) happens .,( ! prop_2 U ( prop_1 <-> prop_3 ) ),!prop_2 U (prop_1 <-> prop_3),True
16/36,If the transition action that ( prop_1 ) gets detected then the following condition holds : ( prop_2 ) .,G ( prop_1 -> prop_2 ),G(prop_1 -> prop_2),True
17/37,"Whenever the transition action that ( prop_2 ) gets observed , or ( prop_1 ) then the following condition is true : ( prop_3 ) .",G ( ( prop_2 | prop_1 ) -> prop_3 ),G((prop_2 | prop_1) -> prop_3),True
17/38,"Everytime when ( prop_3 ) or the event that ( prop_1 ) happens , then the following condition is true : there will have to ultimately exist a certain moment in the following 0 to 4 time units , at which ( prop_2 ) .","G ( ( prop_3 | prop_1 ) -> F [0,4] prop_2 )","G( (prop_3 | prop_1) -> F[0,4](prop_2) )",True
18/39,"Globally , everytime when the scenario that ( prop_2 ) gets detected or the event that ( prop_3 ) occurs , then the following condition holds : ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> prop_1 ),G((prop_2 | prop_3) -> prop_1),True
19/40,In the event that ( prop_1 ) or ( prop_2 ) then the following condition is true : ( prop_3 ) .,G ( ( prop_1 | prop_2 ) -> prop_3 ),G((prop_1 | prop_2) -> prop_3),True
19/41,"Globally , whenever the transition action that ( prop_1 ) is n't detected , and ( prop_2 ) then all of the following conditions hold : immediately ( prop_3 ) .",G ( ( prop_1 & prop_2 ) -> prop_3 ),G((!prop_1 & prop_2) -> prop_3),False
19/42,always ( prop_1 ) or ( prop_2 ),G ( prop_1 | prop_2 ),G(prop_1) | G(prop_2),False
20/43,"If ( prop_1 ) and ( prop_3 ) , or else ( prop_2 ) , or else ( prop_4 ) .",( ( ( prop_1 & prop_3 ) | prop_2 ) | prop_4 ),((prop_1 & prop_3) | prop_2 | prop_4),True
21/44,"As soon as ( prop_3 ) or ( prop_1 ) , then the following condition is true : without any delay ( prop_2 ) .",G ( ( prop_3 | prop_1 ) -> prop_2 ),G( (prop_3 | prop_1) -> prop_2 ),True
21/45,when possible ( prop_1 ) can infer that at any time ( prop_2 ),( F prop_1 -> F prop_2 ),(prop_1 -> F prop_2),False
22/46,"It is always the case that if ( prop_2 ) , and ( prop_3 ) , then in response ( prop_1 ) .",G ( ( prop_2 & prop_3 ) -> prop_1 ),G((prop_2 & prop_3) -> prop_1),True
22/47,"Ensure (prop_2) happens at one time in the next 61 to 319 time steps, or if (prop_3) happens, then also (prop_1) should happen .","( F [61,319] prop_2 | ( prop_3 -> prop_1 ) )","(F[61,319] prop_2) | (prop_3 -> prop_1)",True
22/48,"If either the event ( prop_2 ) or the transition action ( prop_1 ) is detected, then all of the following conditions will be met: ( prop_3 ) .",G ( ( prop_2 | prop_1 ) -> G prop_3 ),G((prop_2 | prop_1) -> prop_3),False
22/49,"If (prop_1) and (prop_4) are detected, then keep checking until 72 to 286 timesteps have passed, and if (prop_3) is equivalent to (prop_2), then stop .","( ( prop_1 & prop_4 ) U [72,286] ( prop_3 <-> prop_2 ) )","((prop_1 & prop_4) -> ((prop_3 <-> prop_2) U[72,286] (prop_3 <-> prop_2)))",False
23/50,"Globally , everytime when ( prop_3 ) then the following condition holds : at the same time point ( prop_1 ) , or ( prop_2 ) .",G ( prop_3 -> ( prop_1 | prop_2 ) ),G ( prop_3 -> ( prop_1 | prop_2 ) ),True
23/51,"For each time instant in the next 123 to 530 time units (prop_2) is true, or else (prop_1) or (prop_3) is true .","( G [123,530] prop_2 | ( prop_1 | prop_3 ) )","G[123,530](prop_2 | prop_1 | prop_3)",False
24/52,"if ( prop_1 ) , at some time ( prop_2 )",( prop_1 -> F prop_2 ),(prop_1 -> F prop_2),True
24/53,at any time ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),G (prop_1 | prop_2),False
24/54,In case that the scenario that ( prop_1 ) is observed then the following condition is true : in no time ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> !F prop_2 ),False
25/55,"Globally , when ( prop_1 ) or ( prop_3 ) , then there will have to be a certain time point in the future before the execution ends finally , at which ( prop_2 ) .",G ( ( prop_1 | prop_3 ) -> F prop_2 ),G( (prop_1 | prop_3) -> F(prop_2) ),True
26/56,"Globally , if the scenario that ( prop_3 ) is detected , then in response ( prop_1 ) , and ( prop_2 ) .",G ( prop_3 -> ( prop_1 & prop_2 ) ),G ( prop_3 -> ( prop_1 & prop_2 ) ),True
27/57,"When the scenario that ( prop_1 ) happens , then all of the following conditions hold : simultaneously ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
27/58,when possible ( prop_1 ) or whenever ( prop_2 ),F ( prop_1 | F prop_2 ),G ( prop_1 | prop_2 ),False
27/59,"It is always the case that in case that the transition action that ( prop_2 ) happens , then all of the following conditions hold : simultaneously ( prop_1 ) , or in no time ( prop_3 ) .",G ( prop_2 -> ( prop_1 | prop_3 ) ),G ( prop_2 -> ( prop_1 | !F prop_3 ) ),False
28/60,"As soon as the transition action that ( prop_2 ) gets observed or ( prop_3 ) , then in response at once ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> prop_1 ),G((prop_2 | prop_3) -> prop_1),True
28/61,"It is always the case that if the scenario that ( prop_2 ) does n't get detected and ( prop_1 ) , then all of the following conditions are true : ( prop_3 ) .",G ( ( prop_2 & prop_1 ) -> prop_3 ),G((!prop_2 & prop_1) -> prop_3),False
28/62,"It is always the case that whenever ( prop_3 ) , then all of the following conditions are true : immediately ( prop_2 ) , and right away ( prop_1 ) .",G ( prop_3 -> ( prop_2 & prop_1 ) ),G( prop_3 -> ( X prop_2 & X prop_1 ) ),False
28/63,"Globally , when ( prop_3 ) , and ( prop_2 ) , then the following condition holds : at the same time the scenario that ( prop_1 ) must never get detected .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> !prop_1),False
29/64,"It is always the case that when ( prop_1 ) or ( prop_2 ) , then all of the following conditions are true : ( prop_3 ) .",G ( ( prop_1 | prop_2 ) -> prop_3 ),G((prop_1 | prop_2) -> prop_3),True
30/65,"It is always the case that everytime when the transition action that ( prop_1 ) is observed , then the following condition is true : ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
30/66,at any time ( prop_1 ) and ( prop_2 ),F ( prop_1 & prop_2 ),G (prop_1 & prop_2),False
