true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
1/1,"It is always the case that everytime when ( prop_1 ) , and the transition action that ( prop_3 ) is observed then at the same time instant ( prop_2 ) .",G ( ( prop_1 & prop_3 ) -> prop_2 ),G((prop_1 & prop_3) -> prop_2),True
2/2,when possible ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),F ( prop_1 | prop_2 ),True
3/3,"It is always the case that when ( prop_1 ) , and ( prop_3 ) then all of the following conditions hold : ( prop_4 ) , and ( prop_2 ) .",G ( ( prop_1 & prop_3 ) -> ( prop_4 & prop_2 ) ),G((prop_1 & prop_3) -> (prop_4 & prop_2)),True
3/4,"It is always the case that in case that the event that ( prop_2 ) does n't get detected , or ( prop_3 ) , then all of the following conditions hold : for every time point in the future until the end of the simulation , there shall be a certain time point during the following 18 to 67 time units , at which the event that ( prop_1 ) shall be ultimately detected .",G ( ( prop_2 | prop_3 ) -> G ( F prop_1 ) ),"G((!prop_2 | prop_3) -> G(F[18,67] prop_1))",False
4/5,at some time ( prop_1 ) and ( prop_2 ),F ( prop_1 & prop_2 ),F (prop_1 & prop_2),True
5/6,"As soon as ( prop_1 ) , or the transition action that ( prop_2 ) gets detected , then the following condition holds : ( prop_3 ) .",G ( ( prop_1 | prop_2 ) -> prop_3 ),G((prop_1 | prop_2) -> prop_3),True
5/7,"It is always the case that when ( prop_1 ) , or ( prop_4 ) then all of the following conditions hold : there will have to be eventually a certain time point in the future before the end of the simulation , at which ( prop_3 ) , and till then ( prop_2 ) .",G ( ( prop_1 | prop_4 ) -> ( prop_3 U prop_2 ) ),G((prop_1 | prop_4) -> (prop_2 U prop_3)),False
5/8,"For each moment in time during the next 7651 to 7864 time units , if the scenario that ( prop_3 ) is observed then in response ( prop_2 ) should also be observed at the same time instant , which is equivalent to saying that ( prop_1 ) .","( G [7651,7864] ( prop_3 -> prop_2 ) <-> prop_1 )","G[7651,7864] ( prop_3 -> ( prop_2 <-> prop_1 ) )",False
5/9,at some time ( prop_1 ) or whenever ( prop_2 ),F ( prop_1 | F prop_2 ),F(prop_1) | G(prop_2),False
6/10,"It should be required that at a certain point within the next 215 to 504 time units the scenario in which ( prop_3 ), and ( prop_1 ) is equivalent to the scenario in which ( prop_2 ) happens .","( F [215,504] prop_3 & ( prop_1 <-> prop_2 ) )","F[215,504] ( prop_3 & ( prop_1 <-> prop_2 ) )",True
