true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
0/1,"For each time instant in the next 4631 to 11058 time units it is required that ( prop_3 ) is equivalent to ( prop_1 ) , and also ( prop_2 ) .","( G [4631,11058] ( prop_3 <-> prop_1 ) & prop_2 )","G[4631,11058] ( (prop_3 <-> prop_1) & (prop_3 <-> prop_2) )",False
0/2,On condition that ( prop_1 ) then the following condition is true : ( prop_2 ) .,G ( prop_1 -> prop_2 ),(prop_1 -> prop_2),False
0/3,As soon as the transition action that ( prop_1 ) is observed then in response at a certain time instant in the future before the execution ends ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> F prop_2 ),False
0/4,when possible ( prop_1 ) and at some time ( prop_2 ),F ( prop_1 & F prop_2 ),(prop_1 -> F prop_2),False
1/5,( prop_1 ) or ( prop_2 ),( prop_1 | prop_2 ),prop_1 | prop_2,True
2/6,"If at some point ( prop_2 ) is equivalent to ( prop_4 ) and this scenario continues until ( prop_3 ) is detected , and ( prop_1 ) .",( ( ( prop_2 <-> prop_4 ) U prop_3 ) & prop_1 ),((prop_2 <-> prop_4) U prop_3) & prop_1,True
3/7,"Globally , in case that the transition action that ( prop_2 ) gets detected , or ( prop_3 ) , then simultaneously the scenario that ( prop_4 ) , and ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> ( prop_4 & prop_1 ) ),G((prop_2 | prop_3) -> (prop_4 & prop_1)),True
4/8,"Globally , whenever ( prop_3 ) and ( prop_2 ) , then ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
5/9,"As soon as the scenario that ( prop_1 ) gets observed , then ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
6/10,As soon as ( prop_1 ) then all of the following conditions are true : ( prop_2 ) .,G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
7/11,In case that at some point ( prop_1 ) or ( prop_4 ) is equivalent to ( prop_3 ) and this scenario is continued until ( prop_2 ) .,( ( ( prop_1 | prop_4 ) <-> prop_3 ) U prop_2 ),((prop_1 | prop_4) <-> prop_3) U prop_2,True
7/12,"While ( prop_1 ) will happen in the next 753 to 5906 time units or , at some point before that , it will have been the case that ( prop_4 ) implies ( prop_2 ), and in the meantime ( prop_3 ) will happen .","( ( ( prop_1 -> prop_4 ) U [753,5906] prop_2 ) & prop_3 )","((F[753,5906] prop_1) | (F((prop_4 -> prop_2) & F prop_3)))",False
7/13,"For each time instant in the next 1680 to 2567 time units either ( prop_3 ) or ( prop_2 ) should not happen , and ( prop_1 ) .","( G [1680,2567] ( ! ( prop_3 | prop_2 ) ) & prop_1 )","G[1680,2567]((!prop_3 | !prop_2) & prop_1)",False
8/14,"Globally , in case that the event that ( prop_2 ) occurs then all of the following conditions hold : at the same time instant ( prop_3 ) and at the same time the transition action that ( prop_1 ) takes place .",G ( prop_2 -> ( prop_3 & prop_1 ) ),G ( prop_2 -> ( prop_3 & prop_1 ) ),True
8/15,whenever ( prop_1 ) can infer that whenever ( prop_2 ),( F prop_1 -> F prop_2 ),G( prop_1 -> G( prop_2 ) ),False
9/16,( prop_1 ) until ( prop_2 ),( prop_1 U prop_2 ),(prop_1 U prop_2),True
9/17,"If ( prop_3 ) is equivalent to ( prop_1 ) , then at some point during the 372 to 798 time units ( prop_2 ) happens .","( ( prop_3 <-> prop_1 ) -> F [372,798] prop_2 )","((prop_3 <-> prop_1) -> F[372,798](prop_2))",True
9/18,"If ( prop_1 ) then ( prop_4 ) happens and this scenario implies ( prop_2 ) , the above scenario will hold until at some other point during the 2827 to 5117 time units ( prop_3 ) is detected .","( ( ( prop_1 -> prop_4 ) -> prop_2 ) U [2827,5117] prop_3 )","((prop_1 -> (prop_4 & prop_2)) U[2827,5117] prop_3)",False
9/19,"Globally , in case that the scenario that ( prop_1 ) does not take place , and ( prop_2 ) , then in response the event that ( prop_3 ) will be detected at the same time point .",G ( ( prop_1 & prop_2 ) -> prop_3 ),G((!prop_1 & prop_2) -> prop_3),False
10/20,( prop_1 ) and ( prop_2 ),( prop_1 & prop_2 ),prop_1 & prop_2,True
10/21,"It should be that at all times 627 and beyond, either (prop_3) or (prop_2) is equivalent to (prop_1) being true .","( ( prop_3 | prop_2 ) <-> G [627,infinite] prop_1 )","G[627,∞] ((prop_3 | prop_2) <-> prop_1)",False
11/22,"Globally , when the transition action that ( prop_3 ) takes place , then all of the following conditions are true : at the same time instant ( prop_1 ) and at the same moment ( prop_2 ) .",G ( prop_3 -> ( prop_1 & prop_2 ) ),G ( prop_3 -> ( prop_1 & prop_2 ) ),True
11/23,at any time ( prop_1 ) and at some time ( prop_2 ),F ( prop_1 & F prop_2 ),G(prop_1) & F(prop_2),False
11/24,"If (prop_1) or (prop_2) happens, or else make sure (prop_3) happens in the next 2635 to 4336 time units .","( ( prop_1 | prop_2 ) | F [2635,4336] prop_3 )","((prop_1 | prop_2) -> true) & (!(prop_1 | prop_2) -> F[2635,4336] prop_3)",False
12/25,"Globally , in case that the scenario that ( prop_3 ) occurs , then the following condition is true : ( prop_1 ) and the scenario that ( prop_2 ) ought to happen at once .",G ( prop_3 -> ( prop_1 & prop_2 ) ),G ( prop_3 -> ( prop_1 & prop_2 ) ),True
12/26,at any time ( prop_1 ) until at any time ( prop_2 ),F ( prop_1 U F prop_2 ),(prop_1 U prop_2),False
12/27,There exists a certain time point in the next 6349 to 14640 time units during the interval ( prop_1 ) at which ( prop_3 ) happens before ( prop_2 ).,"G ( prop_1 -> ( prop_3 U [6349,14640] prop_2 ) )","F[6349,14640] ( prop_3 U prop_2 )",False
13/28,"In the case ( prop_1 ) and ( prop_2 ) , then ( prop_3 ) .",G ( ( prop_1 & prop_2 ) -> prop_3 ),G((prop_1 & prop_2) -> prop_3),True
13/29,"If at some point ( prop_2 ) then ( prop_3 ) happens and this scenario will hold until at some other point during the 9167 to 17598 time units ( prop_1 ) is detected , or else ( prop_4 ) .","( ( ( prop_2 -> prop_3 ) U [9167,17598] prop_1 ) | prop_4 )","F( prop_2 -> ( (prop_3 U[9167,17598] prop_1) | prop_4 ) )",False
14/30,( prop_1 ) and when possible ( prop_2 ),( prop_1 & F prop_2 ),prop_1 & F(prop_2),True
14/31,"If ( prop_3 ) , and ( prop_4 ) then in response in no time the event that ( prop_2 ) will never happen and ( prop_1 ) .",G ( ( prop_3 & prop_4 ) -> ( prop_2 & prop_1 ) ),G((prop_3 & prop_4) -> (!prop_2 & prop_1)),False
15/32,"It is always the case that in case that the scenario that ( prop_1 ) is detected , then without any delay the event that ( prop_2 ) will have to be observed and ( prop_3 ) .",G ( prop_1 -> ( prop_2 & prop_3 ) ),G( prop_1 -> (prop_2 & prop_3) ),True
16/33,"If (prop_2), then (prop_1), and always (prop_3) .",( ( prop_2 -> prop_1 ) & G prop_3 ),((prop_2 -> prop_1) & G(prop_3)),True
17/34,"In case that ( prop_1 ) , or ( prop_3 ) , then the following condition is true : at the same time instant the event that ( prop_2 ) takes place .",G ( ( prop_1 | prop_3 ) -> prop_2 ),G((prop_1 | prop_3) -> prop_2),True
17/35,"when ( prop_1 ) , when possible ( prop_2 )",( prop_1 -> F prop_2 ),G( prop_1 -> F(prop_2) ),False
18/36,"Globally , whenever ( prop_1 ) or the event that ( prop_3 ) gets detected , then the following condition is true : ( prop_2 ) .",G ( ( prop_1 | prop_3 ) -> prop_2 ),G((prop_1 | prop_3) -> prop_2),True
18/37,"( prop_1 ) and ( prop_2 ) should happen at the same time , and this situation should be continued until at some point during the 8977 to 16695 time units ( prop_3 ) does not happen .","( ( prop_1 & prop_2 ) U [8977,16695] ! prop_3 )","((prop_1 & prop_2) U_[8977,16695] (!prop_3))",True
18/38,"Globally , during the interval that ( prop_3 ) or the transition action that ( prop_2 ) is not detected then eventually at a time within the coming 2 to 51 time units , for each time instant in the following 50 to 65 time units , without interruption ( prop_1 ) .","G ( ( prop_3 | prop_2 ) -> F [2,51] ( G [50,65] prop_1 ) )","G( (!prop_2 | prop_3) -> F[2,51]( G[50,65](prop_1) ) )",False
19/39,"Globally , in case that the transition action that ( prop_1 ) happens or ( prop_3 ) then all of the following conditions hold : ( prop_4 ) and without any delay ( prop_2 ) .",G ( ( prop_1 | prop_3 ) -> ( prop_4 & prop_2 ) ),G( (prop_1 | prop_3) -> (prop_4 & prop_2) ),True
19/40,"Globally , in case that ( prop_2 ) then ( prop_1 ) then this condition will have to sustain till the scenario that ( prop_3 ) is detected ultimately at a certain time point in the first 9321 to 9520 time units .","G ( prop_2 -> ( prop_1 U [9321,9520] prop_3 ) )","G( (prop_2 -> (prop_1 U[F[9321,9520] prop_3])) )",False
19/41,whenever ( prop_1 ) and whenever ( prop_2 ),F ( prop_1 & F prop_2 ),G(prop_1) & G(prop_2),False
19/42,( prop_1 ) and whenever ( prop_2 ),( prop_1 & F prop_2 ),G ( prop_2 -> prop_1 ),False
19/43,On condition that ( prop_2 ) or the scenario that ( prop_1 ) takes place then all of the following conditions hold : ( prop_3 ) and consistently this scenario ought to keep in the future .,G ( ( prop_2 | prop_1 ) -> G prop_3 ),((prop_2 | prop_1) -> G(prop_3)),False
19/44,"if at some time ( prop_1 ) , never ( prop_2 )",( F prop_1 -> G ( ! prop_2 ) ),(prop_1 -> G(!prop_2)),False
19/45,whenever ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),G ( prop_1 | prop_2 ),False
20/46,"It is always the case that if ( prop_3 ) , or the event that ( prop_1 ) is detected , then all of the following conditions hold : ( prop_4 ) , or ( prop_2 ) .",G ( ( prop_3 | prop_1 ) -> ( prop_4 | prop_2 ) ),G((prop_3 | prop_1) -> (prop_4 | prop_2)),True
21/47,"In the case the scenario that ( prop_1 ) occurs , then all of the following conditions are true : at the same time ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
21/48,at any time ( prop_1 ) means that at any time ( prop_2 ),( F prop_1 -> F prop_2 ),G (prop_1 -> prop_2),False
22/49,"Globally , in case that the event that ( prop_1 ) is detected , then ( prop_2 ) .",G ( prop_1 -> prop_2 ),G ( prop_1 -> prop_2 ),True
22/50,( prop_1 ) and never ( prop_2 ),( prop_1 & G ( ! prop_2 ) ),G ( prop_1 & !prop_2 ),False
22/51,"If (prop_3), then (prop_2), or else do (prop_4) until at some point during 2043 to 10043 timesteps (prop_1) .","( ( prop_3 -> prop_2 ) | ( prop_4 U [2043,10043] prop_1 ) )","((prop_3 -> prop_2) & (!prop_3 -> (prop_4 U_[2043,10043] prop_1)))",False
22/52,"If ( prop_1 ) is not true then ( prop_3 ) , and ( prop_2 ) .",( ( ! prop_1 -> prop_3 ) & prop_2 ),!prop_1 -> (prop_3 & prop_2),False
22/53,"It is always the case that in case that the scenario that ( prop_3 ) happens , then the following condition is true : ultimately the event that ( prop_2 ) needs to happen at a time in the future , until then ( prop_1 ) .",G ( prop_3 -> ( prop_2 U prop_1 ) ),G ( prop_3 -> ( prop_1 U F prop_2 ) ),False
23/54,In case that ( prop_2 ) then the following condition is true : ( prop_1 ) or ( prop_3 ) .,G ( prop_2 -> ( prop_1 | prop_3 ) ),G ( prop_2 -> ( prop_1 | prop_3 ) ),True
24/55,"It is always the case that everytime when ( prop_3 ) , and ( prop_2 ) , then the following condition holds : ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
24/56,"If it is the case that ( prop_3 ) and ( prop_4 ) are equivalent then ( prop_1 ) should be true , and also ( prop_2 ) shoud be true .",( ( ( prop_3 <-> prop_4 ) -> prop_1 ) & prop_2 ),((prop_3 <-> prop_4) -> (prop_1 & prop_2)),False
24/57,"Globally , when the transition action that ( prop_1 ) takes place and ( prop_4 ) then all of the following conditions are true : the event that ( prop_3 ) will happen promptly , or ( prop_2 ) .",G ( ( prop_1 & prop_4 ) -> ( prop_3 | prop_2 ) ),"G((prop_1 & prop_4) -> (F[0,1] prop_3 | prop_2))",False
24/58,"In case that (prop_1) happens and continues until at some point during the 3988 to 7482 time units (prop_2) happens, and if (prop_3), then (prop_4) .","( ( prop_1 U [3988,7482] prop_2 ) & ( prop_3 -> prop_4 ) )","((prop_1 U[3988,7482] prop_2) & prop_3) -> prop_4",False
25/59,"Globally , everytime when the event that ( prop_3 ) occurs , then the following condition holds : ( prop_2 ) , or simultaneously ( prop_1 ) .",G ( prop_3 -> ( prop_2 | prop_1 ) ),G ( prop_3 -> ( prop_2 | prop_1 ) ),True
26/60,"Globally , if ( prop_3 ) , then the following condition is true : ( prop_1 ) , or at the same time point ( prop_2 ) .",G ( prop_3 -> ( prop_1 | prop_2 ) ),G ( prop_3 -> ( prop_1 | prop_2 ) ),True
26/61,"Manage to achieve (prop_2) in the next 1000 time steps, and if (prop_4) happens in this process, keep (prop_3) until (prop_1) for 500 time units.","( F [0,1000] prop_2 & ( prop_4 -> ( prop_3 U [0,500] prop_1 ) ) )","(F[0,1000] prop_2) & ( (prop_4) -> (prop_3 U[0,500] prop_1) )",True
27/62,"Globally , in case that the event that ( prop_2 ) is observed then all of the following conditions hold : at the same moment the transition action that ( prop_3 ) will get observed , or at the same time point ( prop_1 ) .",G ( prop_2 -> ( prop_3 | prop_1 ) ),G ( prop_2 -> ( prop_3 | prop_1 ) ),True
27/63,when possible ( prop_1 ) and when possible ( prop_2 ),F ( prop_1 & F prop_2 ),F(prop_1) & F(prop_2),False
28/64,"When ( prop_1 ) or ( prop_2 ) , then in response without any delay ( prop_3 ) .",G ( ( prop_1 | prop_2 ) -> prop_3 ),G((prop_1 | prop_2) -> prop_3),True
29/65,( prop_1 ) or ( prop_2 ),( prop_1 | prop_2 ),prop_1 | prop_2,True
29/66,"Continuously do (prop_3) starting from 212 time units onwards, and also ensure that (prop_1) and (prop_2) happen together.","( G [212,infinite] prop_3 & ( prop_1 & prop_2 ) )","G[212,∞](prop_3) & G(prop_1 <-> prop_2)",False
