true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
0/1,"If (prop_3), then do (prop_1), and at some point during 266 to 323 time units, make sure (prop_2) happens .","( ( prop_3 -> prop_1 ) & F [266,323] prop_2 )","G( prop_3 -> ( prop_1 & F[266,323] prop_2 ) )",False
1/2,"On condition that ( prop_1 ) , and ( prop_3 ) then all of the following conditions hold : ( prop_2 ) .",G ( ( prop_1 & prop_3 ) -> prop_2 ),G((prop_1 & prop_3) -> prop_2),True
1/3,always ( prop_1 ) and at any time ( prop_2 ),G ( prop_1 & F prop_2 ),G(prop_1) & G(prop_2),False
2/4,"Globally , while ( prop_2 ) , and ( prop_3 ) then ( prop_1 ) .",G ( ( prop_2 & prop_3 ) -> prop_1 ),G( (prop_2 & prop_3) -> prop_1 ),True
2/5,whenever ( prop_1 ) or ( prop_2 ),F ( prop_1 | prop_2 ),G ( prop_1 | prop_2 ),False
2/6,"If (prop_3) happens, then make sure (prop_2) happens, and keep (prop_1) until (prop_4) in the next 1858 to 2712 time units .","( ( prop_3 -> prop_2 ) & ( prop_1 U [1858,2712] prop_4 ) )","G ( prop_3 -> ( F[1858,2712] prop_2 & (prop_1 U prop_4) ) )",False
2/7,"In case that the transition action that ( prop_2 ) gets detected , then the following condition holds : promptly the transition action that ( prop_1 ) has to take place , and at once the transition action that ( prop_3 ) shall not happen .",G ( prop_2 -> ( prop_1 & prop_3 ) ),G ( prop_2 -> ( X prop_1 & X !prop_3 ) ),False
2/8,Please (prop_1),F prop_1,prop_1,False
2/9,"If ( prop_1 ) is equivalent to ( prop_3 ) and this scenario will hold until at some other point during the 431 to 557 time units that ( prop_4 ) is detected , and ( prop_2 ) .","( ( ( prop_1 <-> prop_3 ) U [431,557] prop_4 ) & prop_2 )","((prop_1 <-> prop_3) U[431,557] (prop_4 & prop_2))",True
2/10,"It is not the case that ( prop_2 ) is equivalent to ( prop_3 ) is true , the above scenario will hold until ( prop_1 ) will be detected at some time point during the next 123 to 593 time units .","( ! ( prop_2 <-> prop_3 ) U [123,593] prop_1 )","! ( prop_2 <-> prop_3 ) U F[123,593] prop_1",False
