true/total,natural_language,reference_ltl,generated_ltl,Equivalence Check
0/1,"In case that ( prop_1 ) , and ( prop_2 ) then the following condition is true : for each moment during the first 5404 to 13155 time units there will ultimately exist a certain time point during the subsequent 2611 to 5852 time units , at which ( prop_3 ) .","G ( ( prop_1 & prop_2 ) -> G [5404,13155] ( F [2611,5852] prop_3 ) )","G( (prop_1 & prop_2) -> G[5404,13155](F[2611,5852](prop_3)) )",True
0/2,whenever ( prop_1 ) and never ( prop_2 ),F ( prop_1 & G ( ! prop_2 ) ),G ( prop_1 -> ! prop_2 ),False
0/3,"Globally , when ( prop_2 ) , or the transition action that ( prop_3 ) occurs then in response at once ( prop_1 ) .",G ( ( prop_2 | prop_3 ) -> prop_1 ),G((prop_2 | X prop_3) -> prop_1),False
1/4,"If ( prop_3 ) , and ( prop_2 ) then the following condition holds : ( prop_1 ) .",G ( ( prop_3 & prop_2 ) -> prop_1 ),G((prop_3 & prop_2) -> prop_1),True
2/5,"Globally , when the transition action that ( prop_2 ) is observed , and ( prop_1 ) , then all of the following conditions hold : the transition action that ( prop_3 ) ought to take place at the same time instant .",G ( ( prop_2 & prop_1 ) -> prop_3 ),G((prop_2 & prop_1) -> prop_3),True
2/6,whenever ( prop_1 ) and whenever ( prop_2 ),F ( prop_1 & F prop_2 ),G(prop_1) & G(prop_2),False
2/7,"At one time between 204 to 338 time units (prop_3), then either (prop_1) or else (prop_2) .","( F [204,338] prop_3 -> ( prop_1 | prop_2 ) )","F[204,338](prop_3 -> (prop_1 | prop_2))",False
2/8,"if whenever ( prop_1 ) , at any time ( prop_2 )",( F prop_1 -> F prop_2 ),G( prop_1 -> F(prop_2) ),False
2/9,"If ( prop_1 ) and ( prop_2 ) , then the following condition is true : at once ( prop_3 ) .",G ( ( prop_1 & prop_2 ) -> prop_3 ),(prop_1 & prop_2) -> prop_3,False
2/10,"If (prop_2) or (prop_1) is observed, then keep doing (prop_3) until (prop_4) is observed within 143 to 205 timesteps .","( ( prop_2 | prop_1 ) -> ( prop_3 U [143,205] prop_4 ) )","((prop_2 | prop_1) -> (prop_3 U[143,205] prop_4))",True
